,L,N,S,score,wrong_answers,placement_cost,measurement_cost,measurement_count
0,50,95,36,42534,23,12809436,969000,855
1,35,66,289,15,62,6037610,673200,594
2,23,89,324,1,87,2214928,907800,801
3,35,61,4,14793316,0,6037610,622200,549
4,33,81,529,1,80,4366240,826200,729
5,35,93,529,1,92,6037610,948600,837
6,30,89,784,1,88,4270992,907800,801
7,49,71,36,71933,21,11998040,724200,639
8,30,87,784,1,85,4270992,887400,783
9,10,61,196,260,57,431378,622200,549
10,22,95,1,29270475,0,2347412,969000,855
11,45,73,81,67,53,10137428,744600,657
12,24,76,25,3370241,10,2310750,775200,684
13,43,96,1,9202760,0,9787106,979200,864
14,26,65,144,78,57,3075092,663000,585
15,43,93,361,1,88,9787106,948600,837
16,24,78,81,60,59,2310750,795600,702
17,19,98,81,14,66,1872898,999600,882
18,39,73,25,4042152,5,7261974,744600,657
19,46,65,576,7,63,10804144,663000,585
20,26,94,81,3,72,3075092,958800,846
21,17,62,484,76,60,1285264,632400,558
22,28,62,289,31,61,3349496,632400,558
23,16,90,16,36598064,1,1167908,918000,810
24,21,62,900,67,59,2130104,632400,558
25,10,65,841,103,61,431378,663000,585
26,14,74,784,6,72,907766,754800,666
27,13,95,225,1,94,888178,969000,855
28,25,76,441,2,75,2673956,775200,684
29,40,79,25,1571269,9,7636198,805800,711
30,40,96,9,11473946,0,7636198,979200,864
31,20,72,225,9,68,2072326,734400,648
32,48,70,256,4,66,11392496,714000,630
33,35,60,900,29,59,6037610,612000,540
34,36,65,1,14019823,0,6369758,663000,585
35,22,60,576,123,56,2347412,612000,540
36,48,91,16,6440863,1,11392496,928200,819
37,10,85,625,1,83,431378,867000,765
38,13,71,484,16,68,888178,724200,639
39,23,79,289,2,75,2214928,805800,711
40,49,98,784,1,97,11998040,999600,882
41,19,75,9,36524371,0,1872898,765000,675
42,31,64,36,279887,19,4396252,652800,576
43,33,95,36,44485,27,4366240,969000,855
44,29,79,841,1,78,3593128,805800,711
45,11,87,729,1,85,454790,887400,783
46,10,92,625,1,89,431378,938400,828
47,23,89,196,1,83,2214928,907800,801
48,15,99,100,1,85,1003742,1009800,891
49,20,68,36,2997264,11,2072326,693600,612
50,31,85,256,1,83,4396252,867000,765
51,24,74,169,6,70,2310750,754800,666
52,46,80,676,1,79,10804144,816000,720
53,45,70,289,9,62,10137428,714000,630
54,43,71,256,3,68,9787106,724200,639
55,19,84,4,35339461,0,1872898,856800,756
56,32,68,81,666,46,4441460,693600,612
57,19,82,324,1,80,1872898,836400,738
58,45,76,900,1,75,10137428,775200,684
59,16,68,729,14,68,1167908,693600,612
60,39,96,441,1,94,7261974,979200,864
61,10,96,36,41960,33,431378,979200,864
62,46,71,729,2,69,10804144,724200,639
63,32,94,121,1,85,4441460,958800,846
64,13,75,576,5,73,888178,765000,675
65,42,93,324,1,88,9429566,948600,837
66,32,79,484,1,77,4441460,805800,711
67,34,73,729,3,71,5040450,744600,657
68,11,83,441,2,79,454790,846600,747
69,39,82,900,1,81,7261974,836400,738
70,24,76,784,2,76,2310750,775200,684
71,48,91,121,1,80,11392496,928200,819
72,25,75,81,35,61,2673956,765000,675
73,31,98,729,1,96,4396252,999600,882
74,43,68,49,18282,28,9787106,693600,612
75,23,81,441,2,76,2214928,826200,729
76,28,86,16,18489860,1,3349496,877200,774
77,40,89,81,1,74,7636198,907800,801
78,32,86,400,1,83,4441460,877200,774
79,30,79,9,19316983,0,4270992,805800,711
80,44,82,225,1,76,9744634,836400,738
81,18,95,100,6,71,1553232,969000,855
82,40,81,9,11678972,0,7636198,826200,729
83,50,69,169,4,65,12809436,703800,621
84,31,67,324,19,62,4396252,683400,603
85,12,95,144,1,89,652594,969000,855
86,43,74,900,1,74,9787106,754800,666
87,13,67,841,20,67,888178,683400,603
88,24,97,1,29410468,0,2310750,989400,873
89,41,82,36,48276,24,8845672,836400,738
90,17,63,484,49,62,1285264,642600,567
91,18,79,361,5,72,1553232,805800,711
92,15,95,529,1,94,1003742,969000,855
93,19,99,361,1,95,1872898,1009800,891
94,46,70,729,4,66,10804144,714000,630
95,23,94,225,1,91,2214928,958800,846
96,26,72,900,4,71,3075092,734400,648
97,33,87,529,1,84,4366240,887400,783
98,26,84,676,1,83,3075092,856800,756
99,23,65,36,945205,16,2214928,663000,585
