,L,N,S,score,wrong_answers,placement_cost,measurement_cost,measurement_count
0,50,95,36,9370147,0,7627192,2945000,2375
1,35,66,289,89,54,4463484,2046000,1650
2,23,89,324,1,81,2214928,2759000,2225
3,35,61,4,14921797,0,4710606,1891000,1525
4,33,81,529,1,80,4033252,2511000,2025
5,35,93,529,1,92,5370136,2883000,2325
6,30,89,784,1,87,3921828,2759000,2225
7,49,71,36,10179343,1,5558054,2201000,1775
8,30,87,784,1,86,3899532,2697000,2175
9,10,61,196,737,49,431378,1891000,1525
10,22,95,1,18607193,0,2329266,2945000,2375
11,45,73,81,37996,26,5591452,2263000,1825
12,24,76,25,20811274,0,2349088,2356000,1900
13,43,96,1,9541297,0,7404756,2976000,2400
14,26,65,144,1372,43,2846092,2015000,1625
15,43,93,361,1,88,7153918,2883000,2325
16,24,78,81,62830,26,2292360,2418000,1950
17,19,98,81,60315,26,1872898,3038000,2450
18,39,73,25,13182905,0,5222582,2263000,1825
19,46,65,576,16,61,5696768,2015000,1625
20,26,94,81,121797,22,3044198,2914000,2350
21,17,62,484,38,61,1285264,1922000,1550
22,28,62,289,77,56,2845472,1922000,1550
23,16,90,16,24643240,0,1167908,2790000,2250
24,21,62,900,24,62,2073186,1922000,1550
25,10,65,841,20,65,431378,2015000,1625
26,14,74,784,5,70,907766,2294000,1850
27,13,95,225,1,82,888178,2945000,2375
28,25,76,441,3,72,2625330,2356000,1900
29,40,79,25,12660023,0,5349880,2449000,1975
30,40,96,9,12116269,0,5177366,2976000,2400
31,20,72,225,69,57,2057264,2232000,1800
32,48,70,256,35,57,6357068,2170000,1750
33,35,60,900,38,58,4359454,1860000,1500
34,36,65,1,14918369,0,4588146,2015000,1625
35,22,60,576,57,58,2247770,1860000,1500
36,48,91,16,10146757,0,6934366,2821000,2275
37,10,85,625,1,83,431378,2635000,2125
38,13,71,484,11,67,888178,2201000,1775
39,23,79,289,5,69,2180030,2449000,1975
40,49,98,784,1,97,7380424,3038000,2450
41,19,75,9,23267188,0,1872898,2325000,1875
42,31,64,36,17310263,0,3692920,1984000,1600
43,33,95,36,14190207,0,4002114,2945000,2375
44,29,79,841,2,74,3416438,2449000,1975
45,11,87,729,1,84,454790,2697000,2175
46,10,92,625,1,85,431378,2852000,2300
47,23,89,196,1,77,2211982,2759000,2225
48,15,99,100,343,50,1003742,3069000,2475
49,20,68,36,23473143,0,2052188,2108000,1700
50,31,85,256,1,75,4102984,2635000,2125
51,24,74,169,157,53,2281732,2294000,1850
52,46,80,676,1,75,6573828,2480000,2000
53,45,70,289,5,66,6472208,2170000,1750
54,43,71,256,18,60,6589596,2201000,1775
55,19,84,4,21845585,0,1873584,2604000,2100
56,32,68,81,132376,22,3366086,2108000,1700
57,19,82,324,2,74,1880476,2542000,2050
58,45,76,900,1,75,6364722,2356000,1900
59,16,68,729,10,67,1167908,2108000,1700
60,39,96,441,1,93,6001026,2976000,2400
61,10,96,36,18247250,2,431378,2976000,2400
62,46,71,729,3,69,5716822,2201000,1775
63,32,94,121,158,51,4216976,2914000,2350
64,13,75,576,5,70,888178,2325000,1875
65,42,93,324,1,89,6983498,2883000,2325
66,32,79,484,2,72,3749702,2449000,1975
67,34,73,729,4,69,3762400,2263000,1825
68,11,83,441,1,80,454790,2573000,2075
69,39,82,900,1,79,5454528,2542000,2050
70,24,76,784,2,73,2324428,2356000,1900
71,48,91,121,269,47,7471558,2821000,2275
72,25,75,81,292039,19,2509798,2325000,1875
73,31,98,729,1,98,4175834,3038000,2450
74,43,68,49,9738208,1,6007064,2108000,1700
75,23,81,441,1,76,2152984,2511000,2025
76,28,86,16,17187482,0,3052188,2666000,2150
77,40,89,81,42653,25,5998360,2759000,2225
78,32,86,400,1,79,3834698,2666000,2150
79,30,79,9,16116971,0,3655640,2449000,1975
80,44,82,225,7,64,6951514,2542000,2050
81,18,95,100,5646,37,1553232,2945000,2375
82,40,81,9,11899765,0,5792528,2511000,2025
83,50,69,169,747,43,6882896,2139000,1725
84,31,67,324,17,62,3649576,2077000,1675
85,12,95,144,4,71,652594,2945000,2375
86,43,74,900,2,71,6275206,2294000,1850
87,13,67,841,14,66,888178,2077000,1675
88,24,97,1,18354848,0,2341152,3007000,2425
89,41,82,36,6188474,3,5631446,2542000,2050
90,17,63,484,24,63,1265948,1953000,1575
91,18,79,361,1,77,1553232,2449000,1975
92,15,95,529,1,93,1003742,2945000,2375
93,19,99,361,1,87,1872898,3069000,2475
94,46,70,729,10,63,6030164,2170000,1750
95,23,94,225,2,75,2145734,2914000,2350
96,26,72,900,4,70,2796442,2232000,1800
97,33,87,529,1,81,3977868,2697000,2175
98,26,84,676,1,83,2820104,2604000,2100
99,23,65,36,20126718,1,1859816,2015000,1625
