,L,N,S,score,wrong_answers,placement_cost,measurement_cost,measurement_count
0,50,95,36,1,83,109547000,95000,95
1,35,66,289,2,64,33466200,66000,66
2,23,89,324,1,88,81972400,89000,89
3,35,61,4,240650,12,28394800,61000,61
4,33,81,529,1,80,63108200,81000,81
5,35,93,529,1,92,97878000,93000,93
6,30,89,784,1,88,83030600,89000,89
7,49,71,36,3,62,43420000,71000,71
8,30,87,784,1,86,80031200,87000,87
9,10,61,196,16,59,12310000,61000,61
10,22,95,1,1076126,0,92731000,95000,95
11,45,73,81,1,66,49557000,73000,73
12,24,76,25,1,69,47588800,76000,76
13,43,96,1,911224,0,109546600,96000,96
14,26,65,144,7,58,34283600,65000,65
15,43,93,361,1,91,102285000,93000,93
16,24,78,81,1,74,56947600,78000,78
17,19,98,81,1,91,95016000,98000,98
18,39,73,25,1,66,48875600,73000,73
19,46,65,576,2,65,34486600,65000,65
20,26,94,81,1,88,87322800,94000,94
21,17,62,484,5,61,27115000,62000,62
22,28,62,289,5,61,26948400,62000,62
23,16,90,16,1,70,65974400,90000,90
24,21,62,900,5,61,27591600,62000,62
25,10,65,841,7,62,13958400,65000,65
26,14,74,784,1,74,33578400,74000,74
27,13,95,225,1,95,45618200,95000,95
28,25,76,441,1,73,51531600,76000,76
29,40,79,25,3,61,59350200,79000,79
30,40,96,9,4,56,103618000,96000,96
31,20,72,225,1,70,42174800,72000,72
32,48,70,256,1,69,44756800,70000,70
33,35,60,900,6,60,27021600,60000,60
34,36,65,1,2782741,0,35770800,65000,65
35,22,60,576,6,60,25462600,60000,60
36,48,91,16,1,68,94532200,91000,91
37,10,85,625,1,84,17148200,85000,85
38,13,71,484,1,69,27270000,71000,71
39,23,79,289,1,78,58005600,79000,79
40,49,98,784,1,98,118040200,98000,98
41,19,75,9,359,39,46218800,75000,75
42,31,64,36,20,54,29325800,64000,64
43,33,95,36,1,89,100784400,95000,95
44,29,79,841,1,78,58400400,79000,79
45,11,87,729,1,84,29150400,87000,87
46,10,92,625,1,89,14215400,92000,92
47,23,89,196,1,86,69331200,89000,89
48,15,99,100,1,95,78506000,99000,99
49,20,68,36,7,58,37309000,68000,68
50,31,85,256,1,85,74359400,85000,85
51,24,74,169,1,73,45997800,74000,74
52,46,80,676,1,79,65994800,80000,80
53,45,70,289,1,66,43624800,70000,70
54,43,71,256,1,68,45002000,71000,71
55,19,84,4,47312,16,59310000,84000,84
56,32,68,81,2,65,38353200,68000,68
57,19,82,324,1,81,53638200,82000,82
58,45,76,900,1,75,56956400,76000,76
59,16,68,729,2,66,31797000,68000,68
60,39,96,441,1,93,111720600,96000,96
61,10,96,36,1,88,10609800,96000,96
62,46,71,729,1,71,44560000,71000,71
63,32,94,121,1,92,101323800,94000,94
64,13,75,576,1,72,34422200,75000,75
65,42,93,324,1,89,102447200,93000,93
66,32,79,484,1,78,60008000,79000,79
67,34,73,729,1,73,47819800,73000,73
68,11,83,441,1,81,27573200,83000,83
69,39,82,900,1,80,65360800,82000,82
70,24,76,784,1,76,51727800,76000,76
71,48,91,121,1,88,95575600,91000,91
72,25,75,81,1,67,50819600,75000,75
73,31,98,729,1,98,108227400,98000,98
74,43,68,49,8,57,39402000,68000,68
75,23,81,441,1,79,61103000,81000,81
76,28,86,16,2,60,78238400,86000,86
77,40,89,81,1,82,91078800,89000,89
78,32,86,400,1,85,76351800,86000,86
79,30,79,9,47,47,59738600,79000,79
80,44,82,225,1,77,69022800,82000,82
81,18,95,100,1,91,86569600,95000,95
82,40,81,9,9,54,67997800,81000,81
83,50,69,169,2,65,42132800,69000,69
84,31,67,324,1,67,37208800,67000,67
85,12,95,144,1,93,41410400,95000,95
86,43,74,900,1,72,51848400,74000,74
87,13,67,841,2,66,26324000,67000,67
88,24,97,1,1041973,0,95774800,97000,97
89,41,82,36,1,76,68477400,82000,82
90,17,63,484,5,61,26825000,63000,63
91,18,79,361,1,77,48383200,79000,79
92,15,95,529,1,93,72454400,95000,95
93,19,99,361,1,96,93661600,99000,99
94,46,70,729,1,69,40279400,70000,70
95,23,94,225,1,93,92878200,94000,94
96,26,72,900,1,69,46948000,72000,72
97,33,87,529,1,84,80079000,87000,87
98,26,84,676,1,82,67350000,84000,84
99,23,65,36,15,55,32366200,65000,65
