,L,N,S,score,wrong_answers,placement_cost,measurement_cost,measurement_count
0,50,95,36,1,83,109547000,95000,95
1,35,66,289,1,64,75298950,66000,66
2,23,89,324,1,88,99186604,89000,89
3,35,61,4,702798,3,72690688,61000,61
4,33,81,529,1,79,90875808,81000,81
5,35,93,529,1,92,97878000,93000,93
6,30,89,784,1,88,100467026,89000,89
7,49,71,36,3,58,85103200,71000,71
8,30,87,784,1,86,96837752,87000,87
9,10,61,196,10,57,31513600,61000,61
10,22,95,1,1076126,0,92731000,95000,95
11,45,73,81,1,65,83751330,73000,73
12,24,76,25,1,67,80425072,76000,76
13,43,96,1,911224,0,109546600,96000,96
14,26,65,144,4,57,77138100,65000,65
15,43,93,361,1,91,102285000,93000,93
16,24,78,81,1,74,82004544,78000,78
17,19,98,81,1,91,95016000,98000,98
18,39,73,25,3,59,82599764,73000,73
19,46,65,576,1,65,77594850,65000,65
20,26,94,81,1,88,87322800,94000,94
21,17,62,484,3,60,69414400,62000,62
22,28,62,289,3,59,68987904,62000,62
23,16,90,16,1,67,79829024,90000,90
24,21,62,900,2,61,70634496,62000,62
25,10,65,841,4,62,31406400,65000,65
26,14,74,784,1,73,56747496,74000,74
27,13,95,225,1,95,45618200,95000,95
28,25,76,441,1,73,87088404,76000,76
29,40,79,25,3,59,85464288,79000,79
30,40,96,9,4,56,103618000,96000,96
31,20,72,225,1,70,71275412,72000,72
32,48,70,256,1,69,87723328,70000,70
33,35,60,900,3,60,69175296,60000,60
34,36,65,1,1239937,0,80484300,65000,65
35,22,60,576,3,60,65184256,60000,60
36,48,91,16,1,68,94532200,91000,91
37,10,85,625,1,84,20749322,85000,85
38,13,71,484,1,69,53449200,71000,71
39,23,79,289,1,78,83528064,79000,79
40,49,98,784,1,98,118040200,98000,98
41,19,75,9,648,34,78109772,75000,75
42,31,64,36,22,50,65983050,64000,64
43,33,95,36,1,89,100784400,95000,95
44,29,79,841,1,78,84096576,79000,79
45,11,87,729,1,84,35271984,87000,87
46,10,92,625,1,89,14215400,92000,92
47,23,89,196,1,86,83890752,89000,89
48,15,99,100,1,95,78506000,99000,99
49,20,68,36,5,57,73125640,68000,68
50,31,85,256,1,85,89974874,85000,85
51,24,74,169,1,73,77736282,74000,74
52,46,80,676,1,79,95032512,80000,80
53,45,70,289,1,66,85504608,70000,70
54,43,71,256,1,68,88203920,71000,71
55,19,84,4,76409,13,71765100,84000,84
56,32,68,81,2,62,75172272,68000,68
57,19,82,324,1,81,77239008,82000,82
58,45,76,900,1,75,96256316,76000,76
59,16,68,729,1,66,62322120,68000,68
60,39,96,441,1,93,111720600,96000,96
61,10,96,36,1,88,10609800,96000,96
62,46,71,729,1,71,87337600,71000,71
63,32,94,121,1,92,101323800,94000,94
64,13,75,576,1,72,58173518,75000,75
65,42,93,324,1,89,102447200,93000,93
66,32,79,484,1,78,86411520,79000,79
67,34,73,729,1,72,80815462,73000,73
68,11,83,441,1,81,39705408,83000,83
69,39,82,900,1,80,94119552,82000,82
70,24,76,784,1,76,87419982,76000,76
71,48,91,121,1,88,95575600,91000,91
72,25,75,81,1,66,85885124,75000,75
73,31,98,729,1,98,108227400,98000,98
74,43,68,49,4,57,77227920,68000,68
75,23,81,441,1,79,87988320,81000,81
76,28,86,16,5,55,94668464,86000,86
77,40,89,81,1,81,110205348,89000,89
78,32,86,400,1,84,92385678,86000,86
79,30,79,9,79,43,86023584,79000,79
80,44,82,225,1,77,99392832,82000,82
81,18,95,100,1,91,86569600,95000,95
82,40,81,9,23,48,97916832,81000,81
83,50,69,169,1,64,82580288,69000,69
84,31,67,324,1,67,72929248,67000,67
85,12,95,144,1,93,41410400,95000,95
86,43,74,900,1,72,87623796,74000,74
87,13,67,841,1,66,51595040,67000,67
88,24,97,1,1041973,0,95774800,97000,97
89,41,82,36,1,75,98607456,82000,82
90,17,63,484,3,60,60356250,63000,63
91,18,79,361,1,77,69671808,79000,79
92,15,95,529,1,93,72454400,95000,95
93,19,99,361,1,96,93661600,99000,99
94,46,70,729,1,69,78947624,70000,70
95,23,94,225,1,93,92878200,94000,94
96,26,72,900,1,69,79342120,72000,72
97,33,87,529,1,84,96895590,87000,87
98,26,84,676,1,82,81493500,84000,84
99,23,65,36,11,53,72823950,65000,65
