,L,N,S,score,wrong_answers,placement_cost,measurement_cost,measurement_count
0,50,95,36,1,75,21500682,285000,285
1,35,66,289,12,63,6685928,198000,198
2,23,89,324,1,84,13151896,267000,267
3,35,61,4,12920365,1,5908776,183000,183
4,33,81,529,1,80,11744576,243000,243
5,35,93,529,1,92,17838478,279000,279
6,30,89,784,1,89,13826054,267000,267
7,49,71,36,9,63,8901778,213000,213
8,30,87,784,1,87,14167842,261000,261
9,10,61,196,76,58,2892858,183000,183
10,22,95,1,5966774,0,16374476,285000,285
11,45,73,81,6,65,9691360,219000,219
12,24,76,25,7,64,9197904,228000,228
13,43,96,1,4576295,0,21463742,288000,288
14,26,65,144,25,60,6040044,195000,195
15,43,93,361,1,91,20523614,279000,279
16,24,78,81,2,72,9205220,234000,234
17,19,98,81,1,82,15120062,294000,294
18,39,73,25,48,55,9604770,219000,219
19,46,65,576,11,63,6940624,195000,195
20,26,94,81,1,83,15624456,282000,282
21,17,62,484,26,61,4598904,186000,186
22,28,62,289,22,61,5394172,186000,186
23,16,90,16,26,57,11178018,270000,270
24,21,62,900,22,61,5347306,186000,186
25,10,65,841,28,62,3333964,195000,195
26,14,74,784,2,72,5200020,222000,222
27,13,95,225,1,91,9504054,285000,285
28,25,76,441,2,72,9357008,228000,228
29,40,79,25,13,60,11498130,237000,237
30,40,96,9,1038,38,19635618,288000,288
31,20,72,225,3,69,7108682,216000,216
32,48,70,256,3,69,8834158,210000,210
33,35,60,900,35,59,5257178,180000,180
34,36,65,1,14099799,0,6797300,195000,195
35,22,60,576,42,59,4327302,180000,180
36,48,91,16,33,54,17512966,273000,273
37,10,85,625,1,84,6199930,255000,255
38,13,71,484,5,68,5393180,213000,213
39,23,79,289,1,77,9086162,237000,237
40,49,98,784,1,97,21385386,294000,294
41,19,75,9,30573,27,7583614,225000,225
42,31,64,36,300,49,5661322,192000,192
43,33,95,36,1,81,18216860,285000,285
44,29,79,841,1,76,10976808,237000,237
45,11,87,729,1,86,5667522,261000,261
46,10,92,625,1,90,7527464,276000,276
47,23,89,196,1,84,13338834,267000,267
48,15,99,100,1,95,13562838,297000,297
49,20,68,36,143,52,6111614,204000,204
50,31,85,256,1,83,13990486,255000,255
51,24,74,169,2,70,7996738,222000,222
52,46,80,676,1,79,12649564,240000,240
53,45,70,289,4,67,8682174,210000,210
54,43,71,256,4,67,8845082,213000,213
55,19,84,4,1814302,7,11207008,252000,252
56,32,68,81,10,63,7547308,204000,204
57,19,82,324,1,79,9149274,246000,246
58,45,76,900,1,74,11280026,228000,228
59,16,68,729,7,67,4447874,204000,204
60,39,96,441,1,91,21816938,288000,288
61,10,96,36,1,79,8307240,288000,288
62,46,71,729,3,69,8911172,213000,213
63,32,94,121,1,90,19672356,282000,282
64,13,75,576,2,72,6061252,225000,225
65,42,93,324,1,90,18918356,279000,279
66,32,79,484,1,77,12078234,237000,237
67,34,73,729,2,71,8975554,219000,219
68,11,83,441,1,81,6630216,249000,249
69,39,82,900,1,81,13023262,246000,246
70,24,76,784,1,74,9203956,228000,228
71,48,91,121,1,85,18396926,273000,273
72,25,75,81,5,66,8837476,225000,225
73,31,98,729,1,96,19672054,294000,294
74,43,68,49,24,59,7971292,204000,204
75,23,81,441,1,80,10605504,243000,243
76,28,86,16,41,54,14215890,258000,258
77,40,89,81,1,85,17011596,267000,267
78,32,86,400,1,85,14128284,258000,258
79,30,79,9,5528,33,11130230,237000,237
80,44,82,225,1,79,13937134,246000,246
81,18,95,100,1,85,14035054,285000,285
82,40,81,9,3817,34,12942978,243000,243
83,50,69,169,9,63,8440624,207000,207
84,31,67,324,6,66,7123350,201000,201
85,12,95,144,1,88,8582330,285000,285
86,43,74,900,1,74,10324994,222000,222
87,13,67,841,7,67,4639996,201000,201
88,24,97,1,5988746,0,16306988,291000,291
89,41,82,36,1,72,12658378,246000,246
90,17,63,484,29,60,5000432,189000,189
91,18,79,361,1,78,7730734,237000,237
92,15,95,529,1,94,12197746,285000,285
93,19,99,361,1,98,16334380,297000,297
94,46,70,729,3,68,8339596,210000,210
95,23,94,225,1,93,15144758,282000,282
96,26,72,900,2,72,8196258,216000,216
97,33,87,529,1,85,14895368,261000,261
98,26,84,676,1,82,12423690,252000,252
99,23,65,36,206,51,5268930,195000,195
