,L,N,S,score,wrong_answers,placement_cost,measurement_cost,measurement_count
0,50,95,36,1402,43,3787400,969000,855
1,35,66,289,41,58,2438204,3366000,2970
2,23,89,324,1,86,1890996,4539000,4005
3,35,61,4,35338886,0,2107544,622200,549
4,33,81,529,1,75,2281202,5783400,5103
5,35,93,529,1,90,3053220,6640200,5859
6,30,89,784,1,87,2382080,6354600,5607
7,49,71,36,28342,31,2670214,724200,639
8,30,87,784,1,85,2651610,6211800,5481
9,10,61,196,491,49,423660,3111000,2745
10,22,95,1,34337665,0,1843254,969000,855
11,45,73,81,108,56,2639966,744600,657
12,24,76,25,5171884,9,1719942,775200,684
13,43,96,1,22941495,0,3279714,979200,864
14,26,65,144,339,49,1851772,3315000,2925
15,43,93,361,1,85,3940292,4743000,4185
16,24,78,81,30,63,1728074,795600,702
17,19,98,81,4,73,1645186,999600,882
18,39,73,25,2393926,11,2743622,744600,657
19,46,65,576,13,62,3040988,4641000,4095
20,26,94,81,10,67,2501816,958800,846
21,17,62,484,83,55,1133952,4426800,3906
22,28,62,289,38,59,1878478,3162000,2790
23,16,90,16,45478112,0,1180860,918000,810
24,21,62,900,31,59,1810972,4426800,3906
25,10,65,841,38,59,431378,4641000,4095
26,14,74,784,3,71,901316,5283600,4662
27,13,95,225,1,80,888178,4845000,4275
28,25,76,441,2,72,1992080,5426400,4788
29,40,79,25,403423,19,2666510,805800,711
30,40,96,9,25215810,0,2886566,979200,864
31,20,72,225,69,56,1658378,3672000,3240
32,48,70,256,38,58,2691508,3570000,3150
33,35,60,900,36,58,2425306,4284000,3780
34,36,65,1,33957449,0,2181862,663000,585
35,22,60,576,42,58,1450082,4284000,3780
36,48,91,16,18131356,1,3384046,928200,819
37,10,85,625,1,83,431378,6069000,5355
38,13,71,484,9,65,889262,5069400,4473
39,23,79,289,3,71,1479802,4029000,3555
40,49,98,784,1,94,3927020,6997200,6174
41,19,75,9,39178045,0,1687450,765000,675
42,31,64,36,223203,23,1891870,652800,576
43,33,95,36,5539,38,2680634,969000,855
44,29,79,841,1,75,2187962,5640600,4977
45,11,87,729,1,86,454790,6211800,5481
46,10,92,625,1,88,431378,6568800,5796
47,23,89,196,3,71,1657066,4539000,4005
48,15,99,100,5,68,1003742,5049000,4455
49,20,68,36,705084,18,1761330,693600,612
50,31,85,256,1,78,2762586,4335000,3825
51,24,74,169,8,66,1679292,3774000,3330
52,46,80,676,1,79,2973818,5712000,5040
53,45,70,289,10,64,3150070,3570000,3150
54,43,71,256,24,60,2919746,3621000,3195
55,19,84,4,38040692,0,1671964,856800,756
56,32,68,81,138,56,1928834,693600,612
57,19,82,324,2,74,1772914,4182000,3690
58,45,76,900,1,75,3292420,5426400,4788
59,16,68,729,13,63,1117364,4855200,4284
60,39,96,441,1,89,3475992,6854400,6048
61,10,96,36,41960,33,431378,979200,864
62,46,71,729,5,67,2558932,5069400,4473
63,32,94,121,6,66,2816384,4794000,4230
64,13,75,576,2,72,888178,5355000,4725
65,42,93,324,1,88,3928710,4743000,4185
66,32,79,484,1,75,2236742,5640600,4977
67,34,73,729,3,69,2150684,5212200,4599
68,11,83,441,1,76,454790,5926200,5229
69,39,82,900,1,78,2965788,5854800,5166
70,24,76,784,1,75,1794774,5426400,4788
71,48,91,121,4,67,3679296,4641000,4095
72,25,75,81,119,57,1666654,765000,675
73,31,98,729,1,96,2831736,6997200,6174
74,43,68,49,11555,35,2717024,693600,612
75,23,81,441,1,81,1681638,5783400,5103
76,28,86,16,19875592,2,2242830,877200,774
77,40,89,81,2,75,3193544,907800,801
78,32,86,400,1,78,2502578,6140400,5418
79,30,79,9,35608098,0,1902550,805800,711
80,44,82,225,2,71,3348314,4182000,3690
81,18,95,100,677,45,1496436,4845000,4275
82,40,81,9,25419162,0,3007840,826200,729
83,50,69,169,111,53,3010796,3519000,3105
84,31,67,324,14,63,2198930,3417000,3015
85,12,95,144,3,70,636836,4845000,4275
86,43,74,900,2,71,2873828,5283600,4662
87,13,67,841,9,65,888178,4783800,4221
88,24,97,1,32286915,0,2007830,989400,873
89,41,82,36,13677,34,2770998,836400,738
90,17,63,484,52,57,1231604,4498200,3969
91,18,79,361,3,70,1445160,4029000,3555
92,15,95,529,1,87,997542,6783000,5985
93,19,99,361,1,95,1775944,5049000,4455
94,46,70,729,9,64,2587146,4998000,4410
95,23,94,225,1,88,1691194,4794000,4230
96,26,72,900,4,68,1883192,5140800,4536
97,33,87,529,1,85,2619524,6211800,5481
98,26,84,676,1,83,1865144,5997600,5292
99,23,65,36,3201428,12,1383526,663000,585
