,L,N,S,score,wrong_answers,placement_cost,measurement_cost,measurement_count
0,50,95,36,9370147,0,7627192,2945000,2375
1,35,66,289,309104,0,315232720,8184000,6600
2,23,89,324,548486,0,171184212,11036000,8900
3,35,61,4,14921797,0,4710606,1891000,1525
4,33,81,529,101354,0,976500000,10044000,8100
5,35,93,529,95046,0,1040500000,11532000,9300
6,30,89,784,92739,1,851500000,11036000,8900
7,49,71,36,10179343,1,5558054,2201000,1775
8,30,87,784,58690,3,861500000,10788000,8700
9,10,61,196,3200456,0,23581554,7564000,6100
10,22,95,1,18607193,0,2329266,2945000,2375
11,45,73,81,6782673,0,5591452,9052000,7300
12,24,76,25,20811274,0,2349088,2356000,1900
13,43,96,1,9541297,0,7404756,2976000,2400
14,26,65,144,458649,0,209871858,8060000,6500
15,43,93,361,212287,0,459430308,11532000,9300
16,24,78,81,5304882,2,2292360,9672000,7800
17,19,98,81,4531007,2,1872898,12152000,9800
18,39,73,25,13182905,0,5222582,2263000,1825
19,46,65,576,88719,0,1119000000,8060000,6500
20,26,94,81,4324267,2,3044198,11656000,9400
21,17,62,484,329177,0,296000000,7688000,6200
22,28,62,289,410017,0,236104430,7688000,6200
23,16,90,16,24643240,0,1167908,2790000,2250
24,21,62,900,95414,4,421500000,7688000,6200
25,10,65,841,739645,1,100000000,8060000,6500
26,14,74,784,368196,1,208000000,9176000,7400
27,13,95,225,1605280,0,50414440,11780000,9500
28,25,76,441,159739,0,616500000,9424000,7600
29,40,79,25,12660023,0,5349880,2449000,1975
30,40,96,9,12116269,0,5177366,2976000,2400
31,20,72,225,766636,0,121412090,8928000,7200
32,48,70,256,238516,0,410479432,8680000,7000
33,35,60,900,28126,6,924500000,7440000,6000
34,36,65,1,14918369,0,4588146,2015000,1625
35,22,60,576,169837,1,463500000,7440000,6000
36,48,91,16,10146757,0,6934366,2821000,2275
37,10,85,625,903833,0,100000000,10540000,8500
38,13,71,484,535035,0,178000000,8804000,7100
39,23,79,289,572628,0,164737722,9796000,7900
40,49,98,784,42140,2,1506500000,12152000,9800
41,19,75,9,23267188,0,1872898,2325000,1875
42,31,64,36,17310263,0,3692920,1984000,1600
43,33,95,36,14190207,0,4002114,2945000,2375
44,29,79,841,76291,2,829000000,9796000,7900
45,11,87,729,800718,0,114000000,10788000,8700
46,10,92,625,896797,0,100000000,11408000,9200
47,23,89,196,549544,0,170833108,11036000,8900
48,15,99,100,1181530,0,72260070,12276000,9900
49,20,68,36,23473143,0,2052188,2108000,1700
50,31,85,256,355666,0,270523052,10540000,8500
51,24,74,169,543909,0,174578566,9176000,7400
52,46,80,676,73610,0,1348500000,9920000,8000
53,45,70,289,244521,0,400183984,8680000,7000
54,43,71,256,248390,0,393689568,8804000,7100
55,19,84,4,21845585,0,1873584,2604000,2100
56,32,68,81,4303214,3,3366086,8432000,6800
57,19,82,324,839747,0,108815566,10168000,8200
58,45,76,900,31568,4,1288000000,9424000,7600
59,16,68,729,369643,0,262000000,8432000,6800
60,39,96,441,81301,0,1218000000,11904000,9600
61,10,96,36,18247250,2,431378,2976000,2400
62,46,71,729,82618,0,1201500000,8804000,7100
63,32,94,121,295743,0,326376188,11656000,9400
64,13,75,576,533618,0,178000000,9300000,7500
65,42,93,324,232861,0,417808882,11532000,9300
66,32,79,484,100262,0,987500000,9796000,7900
67,34,73,729,85869,1,922500000,9052000,7300
68,11,83,441,803911,0,114000000,10292000,8300
69,39,82,900,69339,1,1143500000,10168000,8200
70,24,76,784,136981,1,574500000,9424000,7600
71,48,91,121,209338,0,466313402,11284000,9100
72,25,75,81,8396449,0,2509798,9300000,7500
73,31,98,729,71250,2,886000000,12152000,9800
74,43,68,49,9738208,1,6007064,2108000,1700
75,23,81,441,177103,0,554500000,10044000,8100
76,28,86,16,17187482,0,3052188,2666000,2150
77,40,89,81,5836227,0,5998360,11036000,8900
78,32,86,400,98936,0,1000000000,10664000,8600
79,30,79,9,16116971,0,3655640,2449000,1975
80,44,82,225,229395,0,425661468,10168000,8200
81,18,95,100,911991,0,97770208,11780000,9500
82,40,81,9,11899765,0,5792528,2511000,2025
83,50,69,169,231590,0,423143118,8556000,6900
84,31,67,324,384819,0,251454988,8308000,6700
85,12,95,144,1963795,0,39041816,11780000,9500
86,43,74,900,52383,2,1212500000,9176000,7400
87,13,67,841,536458,0,178000000,8308000,6700
88,24,97,1,18354848,0,2341152,3007000,2425
89,41,82,36,6188474,3,5631446,2542000,2050
90,17,63,484,330129,0,295000000,7812000,6300
91,18,79,361,928797,0,97770208,9796000,7900
92,15,95,529,423945,0,224000000,11780000,9500
93,19,99,361,656581,1,109467416,12276000,9900
94,46,70,729,87737,0,1131000000,8680000,7000
95,23,94,225,555904,0,168131334,11656000,9400
96,26,72,900,93907,2,672500000,8928000,7200
97,33,87,529,96816,0,1022000000,10788000,8700
98,26,84,676,138790,0,710000000,10416000,8400
99,23,65,36,20126718,1,1859816,2015000,1625
