,L,N,S,score,wrong_answers,placement_cost,measurement_cost,measurement_count
0,50,95,36,7407663,3,3866762,2945000,2375
1,35,66,289,609296,0,155840000,8184000,6600
2,23,89,324,995858,0,89280000,11036000,8900
3,35,61,4,24792868,0,2042418,1891000,1525
4,33,81,529,101354,0,976500000,10044000,8100
5,35,93,529,95046,0,1040500000,11532000,9300
6,30,89,784,92739,1,851500000,11036000,8900
7,49,71,36,8057882,4,2782222,2201000,1775
8,30,87,784,58690,3,861500000,10788000,8700
9,10,61,196,4225829,0,16000000,7564000,6100
10,22,95,1,24171229,0,1092150,2945000,2375
11,45,73,81,2182412,6,2859668,9052000,7300
12,24,76,25,22225915,1,1143402,2356000,1900
13,43,96,1,15282071,0,3467616,2976000,2400
14,26,65,144,859107,0,108240000,8060000,6500
15,43,93,361,419407,0,226800000,11532000,9300
16,24,78,81,505575,13,1101894,9672000,7800
17,19,98,81,1016924,9,946412,12152000,9800
18,39,73,25,20739582,0,2458698,2263000,1825
19,46,65,576,88719,0,1119000000,8060000,6500
20,26,94,81,1981482,6,1473700,11656000,9400
21,17,62,484,594183,5,47360000,7688000,6200
22,28,62,289,790464,0,118720000,7688000,6200
23,16,90,16,28703597,0,593884,2790000,2250
24,21,62,900,95414,4,421500000,7688000,6200
25,10,65,841,739645,1,100000000,8060000,6500
26,14,74,784,368196,1,208000000,9176000,7400
27,13,95,225,2477701,0,28480000,11780000,9500
28,25,76,441,124088,9,98640000,9424000,7600
29,40,79,25,15505752,1,2610376,2449000,1975
30,40,96,9,17139935,0,2758328,2976000,2400
31,20,72,225,1339980,0,65600000,8928000,7200
32,48,70,256,471743,0,203200000,8680000,7000
33,35,60,900,28126,6,924500000,7440000,6000
34,36,65,1,23806599,0,2085516,2015000,1625
35,22,60,576,169837,1,463500000,7440000,6000
36,48,91,16,15753803,0,3426674,2821000,2275
37,10,85,625,903833,0,100000000,10540000,8500
38,13,71,484,287220,10,28480000,8804000,7100
39,23,79,289,1041060,0,86160000,9796000,7900
40,49,98,784,42140,2,1506500000,12152000,9800
41,19,75,9,29661163,0,946412,2325000,1875
42,31,64,36,17102779,2,1658082,1984000,1600
43,33,95,36,901076,14,1835886,2945000,2375
44,29,79,841,76291,2,829000000,9796000,7900
45,11,87,729,800718,0,114000000,10788000,8700
46,10,92,625,896797,0,100000000,11408000,9200
47,23,89,196,999841,0,88880000,11036000,8900
48,15,99,100,2074001,0,35840000,12276000,9900
49,20,68,36,25088154,1,980756,2108000,1700
50,31,85,256,665602,0,139600000,10540000,8500
51,24,74,169,1024633,0,88320000,9176000,7400
52,46,80,676,73610,0,1348500000,9920000,8000
53,45,70,289,406051,1,188240000,8680000,7000
