,L,N,S,score,wrong_answers,placement_cost,measurement_cost,measurement_count
0,50,95,36,1,75,28011400,285000,285
1,35,66,289,9,63,8874600,198000,198
2,23,89,324,1,84,19694800,267000,267
3,35,61,4,10379097,1,7424800,183000,183
4,33,81,529,1,80,16036200,243000,243
5,35,93,529,1,92,24664400,279000,279
6,30,89,784,1,89,20339400,267000,267
7,49,71,36,7,63,11549000,213000,213
8,30,87,784,1,87,20132200,261000,261
9,10,61,196,54,58,4168000,183000,183
10,22,95,1,3948949,0,24938200,285000,285
11,45,73,81,4,65,12592200,219000,219
12,24,76,25,5,64,12727600,228000,228
13,43,96,1,3541253,0,27850600,288000,288
14,26,65,144,18,60,8376400,195000,195
15,43,93,361,1,91,26357400,279000,279
16,24,78,81,1,72,13517200,234000,234
17,19,98,81,1,82,24906800,294000,294
18,39,73,25,37,55,12537200,219000,219
19,46,65,576,9,63,9014600,195000,195
20,26,94,81,1,83,23308800,282000,282
21,17,62,484,17,61,7101400,186000,186
22,28,62,289,16,61,7381200,186000,186
23,16,90,16,17,57,18310400,270000,270
24,21,62,900,16,61,7404400,186000,186
25,10,65,841,21,62,4601600,195000,195
26,14,74,784,2,72,9432200,222000,222
27,13,95,225,1,91,15820200,285000,285
28,25,76,441,1,72,13258000,228000,228
29,40,79,25,10,60,15522000,237000,237
30,40,96,9,743,38,27576400,288000,288
31,20,72,225,2,69,10422800,216000,216
32,48,70,256,2,69,11226800,210000,210
33,35,60,900,27,59,6849600,180000,180
34,36,65,1,10962749,0,8826800,195000,195
35,22,60,576,31,59,6088600,180000,180
36,48,91,16,25,54,23711200,273000,273
37,10,85,625,1,84,7790600,255000,255
38,13,71,484,4,68,7922000,213000,213
39,23,79,289,1,77,14200800,237000,237
40,49,98,784,1,97,28987600,294000,294
41,19,75,9,19651,27,11979000,225000,225
42,31,64,36,221,49,7789800,192000,192
43,33,95,36,1,81,25810000,285000,285
44,29,79,841,1,76,15102600,237000,237
45,11,87,729,1,86,8837200,261000,261
46,10,92,625,1,90,8447000,276000,276
47,23,89,196,1,84,20042400,267000,267
48,15,99,100,1,95,23665200,297000,297
49,20,68,36,97,52,9157000,204000,204
50,31,85,256,1,83,19112600,255000,255
51,24,74,169,2,70,11476800,222000,222
52,46,80,676,1,79,16338800,240000,240
53,45,70,289,3,67,11123800,210000,210
54,43,71,256,3,67,11528000,213000,213
55,19,84,4,1227065,7,16738800,252000,252
56,32,68,81,8,63,9983600,204000,204
57,19,82,324,1,79,14401200,246000,246
58,45,76,900,1,74,14525600,228000,228
59,16,68,729,5,67,7650200,204000,204
60,39,96,441,1,91,28402200,288000,288
61,10,96,36,1,79,8805000,288000,288
62,46,71,729,2,69,11548000,213000,213
63,32,94,121,1,90,26528000,282000,282
64,13,75,576,2,72,9965200,225000,225
65,42,93,324,1,90,25222400,279000,279
66,32,79,484,1,77,15891200,237000,237
67,34,73,729,2,71,12259000,219000,219
68,11,83,441,1,81,10295800,249000,249
69,39,82,900,1,81,17267800,246000,246
70,24,76,784,1,74,12899400,228000,228
71,48,91,121,1,85,24448600,273000,273
72,25,75,81,4,66,13035200,225000,225
73,31,98,729,1,96,27916400,294000,294
74,43,68,49,19,59,10175600,204000,204
75,23,81,441,1,80,16223000,243000,243
76,28,86,16,29,54,20360400,258000,258
77,40,89,81,1,85,22623600,267000,267
78,32,86,400,1,85,19781000,258000,258
79,30,79,9,4080,33,15200600,237000,237
80,44,82,225,1,79,18166400,246000,246
81,18,95,100,1,85,22978600,285000,285
82,40,81,9,2894,34,17181800,243000,243
83,50,69,169,8,63,10791600,207000,207
84,31,67,324,4,66,9818800,201000,201
85,12,95,144,1,88,14385400,285000,285
86,43,74,900,1,74,13205600,222000,222
87,13,67,841,5,67,7124600,201000,201
88,24,97,1,3909763,0,25186000,291000,291
89,41,82,36,1,72,17112600,246000,246
90,17,63,484,20,60,7437600,189000,189
91,18,79,361,1,78,12979000,237000,237
92,15,95,529,1,94,20726200,285000,285
93,19,99,361,1,98,25894600,297000,297
94,46,70,729,3,68,10809400,210000,210
95,23,94,225,1,93,24258200,282000,282
96,26,72,900,1,72,11516800,216000,216
97,33,87,529,1,85,20102600,261000,261
98,26,84,676,1,82,17521200,252000,252
99,23,65,36,136,51,8103800,195000,195
