,L,N,S,score,wrong_answers,placement_cost,measurement_cost,measurement_count
0,50,95,36,1149091,8,12809436,1691000,1425
1,35,66,289,21,60,6037610,1174800,990
2,23,89,324,1,80,2214928,1584200,1335
3,35,61,4,13843878,0,6037610,1085800,915
4,33,81,529,1,80,4366240,1441800,1215
5,35,93,529,1,91,6037610,1655400,1395
6,30,89,784,1,87,4270992,1584200,1335
7,49,71,36,3831808,3,11998040,1263800,1065
8,30,87,784,1,86,4270992,1548600,1305
9,10,61,196,362,54,431378,1085800,915
10,22,95,1,24163859,0,2347412,1691000,1425
11,45,73,81,5494,33,10137428,1299400,1095
12,24,76,25,17005222,2,2310750,1352800,1140
13,43,96,1,8623734,0,9787106,1708800,1440
14,26,65,144,1257,44,3075092,1157000,975
15,43,93,361,1,85,9787106,1655400,1395
16,24,78,81,3499,40,2310750,1388400,1170
17,19,98,81,246,52,1872898,1744400,1470
18,39,73,25,11545513,0,7261974,1299400,1095
19,46,65,576,9,62,10804144,1157000,975
20,26,94,81,719,46,3075092,1673200,1410
21,17,62,484,77,59,1285264,1103600,930
22,28,62,289,43,59,3349496,1103600,930
23,16,90,16,34844323,0,1167908,1602000,1350
24,21,62,900,37,61,2130104,1103600,930
25,10,65,841,30,65,431378,1157000,975
26,14,74,784,8,70,907766,1317200,1110
27,13,95,225,1,91,888178,1691000,1425
28,25,76,441,2,74,2673956,1352800,1140
29,40,79,25,8750440,1,7636198,1406200,1185
30,40,96,9,10587615,0,7636198,1708800,1440
31,20,72,225,36,61,2072326,1281600,1080
32,48,70,256,5,64,11392496,1246000,1050
33,35,60,900,52,56,6037610,1068000,900
34,36,65,1,13111732,0,6369758,1157000,975
35,22,60,576,107,56,2347412,1068000,900
36,48,91,16,7626430,0,11392496,1619800,1365
37,10,85,625,1,81,431378,1513000,1275
38,13,71,484,15,67,888178,1263800,1065
39,23,79,289,2,74,2214928,1406200,1185
40,49,98,784,1,98,11998040,1744400,1470
41,19,75,9,30230679,0,1872898,1335000,1125
42,31,64,36,14195845,1,4396252,1139200,960
43,33,95,36,2179836,9,4366240,1691000,1425
44,29,79,841,2,75,3593128,1406200,1185
45,11,87,729,1,82,454790,1548600,1305
46,10,92,625,1,91,431378,1637600,1380
47,23,89,196,1,79,2214928,1584200,1335
48,15,99,100,2,75,1003742,1762200,1485
49,20,68,36,23649566,1,2072326,1210400,1020
50,31,85,256,1,79,4396252,1513000,1275
51,24,74,169,52,59,2310750,1317200,1110
52,46,80,676,1,75,10804144,1424000,1200
53,45,70,289,4,66,10137428,1246000,1050
54,43,71,256,6,64,9787106,1263800,1065
55,19,84,4,28834249,0,1872898,1495200,1260
56,32,68,81,7053,35,4441460,1210400,1020
57,19,82,324,1,78,1872898,1459600,1230
58,45,76,900,1,74,10137428,1352800,1140
59,16,68,729,21,65,1167908,1210400,1020
60,39,96,441,1,86,7261974,1708800,1440
61,10,96,36,7489234,8,431378,1708800,1440
62,46,71,729,2,69,10804144,1263800,1065
63,32,94,121,1,76,4441460,1673200,1410
64,13,75,576,5,72,888178,1335000,1125
65,42,93,324,1,88,9429566,1655400,1395
66,32,79,484,1,77,4441460,1406200,1185
67,34,73,729,3,71,5040450,1299400,1095
68,11,83,441,1,80,454790,1477400,1245
69,39,82,900,1,81,7261974,1459600,1230
70,24,76,784,2,74,2310750,1352800,1140
71,48,91,121,10,61,11392496,1619800,1365
72,25,75,81,849,46,2673956,1335000,1125
73,31,98,729,1,98,4396252,1744400,1470
74,43,68,49,495387,13,9787106,1210400,1020
75,23,81,441,2,76,2214928,1441800,1215
76,28,86,16,20079128,0,3349496,1530800,1290
77,40,89,81,154,50,7636198,1584200,1335
78,32,86,400,1,81,4441460,1530800,1290
79,30,79,9,17309448,0,4270992,1406200,1185
80,44,82,225,1,72,9744634,1459600,1230
81,18,95,100,37,61,1553232,1691000,1425
82,40,81,9,10895623,0,7636198,1441800,1215
83,50,69,169,17,58,12809436,1228200,1035
84,31,67,324,18,62,4396252,1192600,1005
85,12,95,144,1,80,652594,1691000,1425
86,43,74,900,2,69,9787106,1317200,1110
87,13,67,841,19,66,888178,1192600,1005
88,24,97,1,24170061,0,2310750,1726600,1455
89,41,82,36,6150729,2,8845672,1459600,1230
90,17,63,484,96,58,1285264,1121400,945
91,18,79,361,2,76,1553232,1406200,1185
92,15,95,529,1,90,1003742,1691000,1425
93,19,99,361,1,98,1872898,1762200,1485
94,46,70,729,3,68,10804144,1246000,1050
95,23,94,225,1,90,2214928,1673200,1410
96,26,72,900,6,68,3075092,1281600,1080
97,33,87,529,1,82,4366240,1548600,1305
98,26,84,676,1,82,3075092,1495200,1260
99,23,65,36,7550387,6,2214928,1157000,975
