,L,N,S,score,wrong_answers,placement_cost,measurement_cost,measurement_count
0,50,95,36,7419417,3,3855812,2945000,2375
1,35,66,289,608703,0,156000000,8184000,6600
2,23,89,324,995858,0,89280000,11036000,8900
3,35,61,4,24919361,0,2021944,1891000,1525
4,33,81,529,101560,0,974500000,10044000,8100
5,35,93,529,95091,0,1040000000,11532000,9300
6,30,89,784,92901,1,850000000,11036000,8900
7,49,71,36,8067932,4,2775890,2201000,1775
8,30,87,784,58757,3,860500000,10788000,8700
9,10,61,196,4225829,0,16000000,7564000,6100
10,22,95,1,24171229,0,1092150,2945000,2375
11,45,73,81,2183796,6,2852052,9052000,7300
12,24,76,25,22225915,1,1143402,2356000,1900
13,43,96,1,15281693,0,3467778,2976000,2400
14,26,65,144,859107,0,108240000,8060000,6500
15,43,93,361,419971,0,226480000,11532000,9300
16,24,78,81,505575,13,1101894,9672000,7800
17,19,98,81,1016924,9,946412,12152000,9800
18,39,73,25,20776191,0,2450202,2263000,1825
19,46,65,576,88798,0,1118000000,8060000,6500
20,26,94,81,1982859,6,1464508,11656000,9400
21,17,62,484,594183,5,47360000,7688000,6200
22,28,62,289,790464,0,118720000,7688000,6200
23,16,90,16,28703597,0,593884,2790000,2250
24,21,62,900,95414,4,421500000,7688000,6200
25,10,65,841,739645,1,100000000,8060000,6500
26,14,74,784,368196,1,208000000,9176000,7400
27,13,95,225,2477701,0,28480000,11780000,9500
28,25,76,441,124088,9,98640000,9424000,7600
29,40,79,25,15578132,1,2586404,2449000,1975
30,40,96,9,17139935,0,2758328,2976000,2400
31,20,72,225,1339980,0,65600000,8928000,7200
32,48,70,256,471743,0,203200000,8680000,7000
33,35,60,900,28096,6,925500000,7440000,6000
34,36,65,1,23803369,0,2086086,2015000,1625
35,22,60,576,169837,1,463500000,7440000,6000
36,48,91,16,15797624,0,3409066,2821000,2275
37,10,85,625,903833,0,100000000,10540000,8500
38,13,71,484,287220,10,28480000,8804000,7100
39,23,79,289,1041060,0,86160000,9796000,7900
40,49,98,784,42154,2,1506000000,12152000,9800
41,19,75,9,29661163,0,946412,2325000,1875
42,31,64,36,17044114,2,1670962,1984000,1600
43,33,95,36,902476,14,1828312,2945000,2375
44,29,79,841,76382,2,828000000,9796000,7900
45,11,87,729,800718,0,114000000,10788000,8700
46,10,92,625,896797,0,100000000,11408000,9200
47,23,89,196,999841,0,88880000,11036000,8900
48,15,99,100,2074001,0,35840000,12276000,9900
49,20,68,36,25088154,1,980756,2108000,1700
50,31,85,256,667023,0,139280000,10540000,8500
51,24,74,169,1024633,0,88320000,9176000,7400
52,46,80,676,73583,0,1349000000,9920000,8000
53,45,70,289,406216,1,188160000,8680000,7000
54,43,71,256,492844,0,194000000,8804000,7100
55,19,84,4,27396015,0,946166,2604000,2100
56,32,68,81,1662614,8,1558870,8432000,6800
57,19,82,324,1451211,0,58640000,10168000,8200
58,45,76,900,31580,4,1287500000,9424000,7600
59,16,68,729,369643,0,262000000,8432000,6800
60,39,96,441,64876,9,194880000,11904000,9600
61,10,96,36,19063540,2,281194,2976000,2400
62,46,71,729,82652,0,1201000000,8804000,7100
63,32,94,121,559047,0,167120000,11656000,9400
64,13,75,576,533618,0,178000000,9300000,7500
65,42,93,324,465134,0,203360000,11532000,9300
66,32,79,484,125027,7,157840000,9796000,7900
67,34,73,729,86008,1,921000000,9052000,7300
68,11,83,441,732451,7,18240000,10292000,8300
69,39,82,900,69339,1,1143500000,10168000,8200
70,24,76,784,136981,1,574500000,9424000,7600
71,48,91,121,409126,0,233040000,11284000,9100
72,25,75,81,1261452,9,1239946,9300000,7500
73,31,98,729,71449,2,883500000,12152000,9800
74,43,68,49,6606348,5,2752078,2108000,1700
75,23,81,441,212125,7,88720000,10044000,8100
76,28,86,16,23237289,0,1537428,2666000,2150
77,40,89,81,2882551,4,3073636,11036000,8900
78,32,86,400,300251,3,159760000,10664000,8600
79,30,79,9,22765540,0,1843604,2449000,1975
80,44,82,225,452842,0,210560000,10168000,8200
81,18,95,100,1585289,0,51200000,11780000,9500
82,40,81,9,17580749,0,3077040,2511000,2025
83,50,69,169,469008,0,204560000,8556000,6900
84,31,67,324,724596,0,129600000,8308000,6700
85,12,95,144,2762431,0,24320000,11780000,9500
86,43,74,900,52448,2,1211000000,9176000,7400
87,13,67,841,536458,0,178000000,8308000,6700
88,24,97,1,23538639,0,1141334,3007000,2425
89,41,82,36,7745676,4,2646112,2542000,2050
90,17,63,484,380526,7,47200000,7812000,6300
91,18,79,361,838026,3,51200000,9796000,7900
92,15,95,529,423945,0,224000000,11780000,9500
93,19,99,361,898170,2,58880000,12276000,9900
94,46,70,729,87737,0,1131000000,8680000,7000
95,23,94,225,1004864,0,87760000,11656000,9400
96,26,72,900,93907,2,672500000,8928000,7200
97,33,87,529,97004,0,1020000000,10788000,8700
98,26,84,676,138790,0,710000000,10416000,8400
99,23,65,36,11009362,5,861376,2015000,1625
100,16,100,361,1470048,1,41920000,12400000,10000
101,14,89,841,292057,2,208000000,11036000,8900
102,29,93,576,117422,0,840000000,11532000,9300
103,27,62,1,29578466,0,1358838,1922000,1550
104,50,82,900,28840,4,1410000000,10168000,8200
105,31,81,81,1753935,7,1812842,10044000,8100
106,17,77,25,31428534,0,694822,2387000,1925
107,36,98,36,17887155,0,2452604,3038000,2450
108,10,92,676,896797,0,100000000,11408000,9200
109,13,74,25,28761460,1,387500,2294000,1850
110,39,70,225,565931,0,167920000,8680000,7000
111,46,84,25,16503454,0,3355338,2604000,2100
112,22,82,841,125918,2,498000000,10168000,8200
113,44,93,144,437155,0,217120000,11532000,9300
114,15,90,576,425062,0,224000000,11160000,9000
115,44,79,16,17688484,0,3104396,2449000,1975
116,32,99,676,96073,0,1028500000,12276000,9900
117,23,89,4,25622972,0,1043748,2759000,2225
118,25,83,784,128640,1,611500000,10292000,8300
119,24,71,64,111541,25,1086012,2201000,1775
120,25,60,324,808898,1,91360000,7440000,6000
121,16,68,784,369643,0,262000000,8432000,6800
122,33,87,361,477533,1,156640000,10788000,8700
123,50,61,81,7368742,1,3192670,7564000,6100
124,46,99,64,1963,40,3602496,3069000,2475
125,23,94,289,989747,0,89280000,11656000,9400
126,48,84,625,72280,0,1373000000,10416000,8400
127,15,77,729,427995,0,224000000,9548000,7700
128,31,63,121,785226,0,119440000,7812000,6300
129,32,74,36,15461530,2,1745306,2294000,1850
130,42,83,841,62874,1,1262000000,10292000,8300
131,32,69,361,530730,1,142080000,8556000,6900
132,15,81,256,2174670,0,35840000,10044000,8100
133,33,72,81,2432146,6,1750302,8928000,7200
134,41,80,625,65040,1,1220000000,9920000,8000
135,44,67,1,20166056,0,2781828,2077000,1675
136,50,75,576,76371,0,1300000000,9300000,7500
137,22,83,729,197671,0,495500000,10292000,8300
138,49,63,576,83654,0,1187500000,7812000,6300
139,42,99,576,70979,0,1396500000,12276000,9900
140,37,82,441,141342,6,175200000,10168000,8200
141,15,99,729,423055,0,224000000,12276000,9900
142,42,81,1,18234194,0,2873202,2511000,2025
143,38,60,324,469649,1,162800000,7440000,6000
144,44,73,100,485174,0,196960000,9052000,7300
145,43,92,81,1773431,6,3273750,11408000,9200
146,39,85,484,28874,13,179760000,10540000,8500
147,20,89,25,20794885,1,988100,2759000,2225
148,10,88,676,900804,0,100000000,10912000,8800
149,28,64,256,860023,0,108240000,7936000,6400
150,48,92,576,68027,0,1458500000,11408000,9200
151,38,94,196,489630,0,192480000,11656000,9400
152,34,81,256,601888,0,156000000,10044000,8100
153,47,86,144,415345,0,230000000,10664000,8600
154,34,65,144,629090,0,150800000,8060000,6500
155,25,70,81,4056746,4,1316764,8680000,7000
156,31,73,64,94771,25,1623342,2263000,1825
157,37,75,441,183472,5,169200000,9300000,7500
158,15,66,256,2266341,0,35840000,8184000,6600
159,15,64,121,2279151,0,35840000,7936000,6400
160,12,75,289,2965600,0,24320000,9300000,7500
161,40,66,441,174629,5,179360000,8184000,6600
162,45,84,900,20715,6,1255000000,10416000,8400
163,28,71,484,210146,6,115840000,8804000,7100
164,18,60,625,305307,0,320000000,7440000,6000
165,38,89,841,65140,1,1217000000,11036000,8900
166,19,67,196,1486150,0,58880000,8308000,6700
167,21,69,144,1307258,0,67840000,8556000,6900
168,47,61,144,504073,0,190720000,7564000,6100
169,26,94,9,22200663,0,1490370,2914000,2350
170,38,80,529,86542,0,1145500000,9920000,8000
171,37,77,169,563165,0,167920000,9548000,7700
172,18,98,576,300977,0,320000000,12152000,9800
173,25,77,1,26623346,0,1269102,2387000,1925
174,27,61,121,861594,0,108400000,7564000,6100
175,11,79,900,645703,1,114000000,9796000,7900
176,44,91,100,458666,0,206640000,11284000,9100
177,26,90,625,138551,0,710500000,11160000,9000
178,36,97,576,84701,0,1168500000,12028000,9700
179,19,75,225,1466276,0,58800000,9300000,7500
180,21,77,16,28848623,0,979370,2387000,1925
181,42,87,576,78562,0,1262000000,10788000,8700
182,16,85,529,366785,0,262000000,10540000,8500
183,21,73,1,30078011,0,961688,2263000,1825
184,15,64,900,176525,4,224000000,7936000,6400
185,34,68,729,113247,0,874500000,8432000,6800
186,21,88,576,224714,0,434000000,10912000,8800
187,26,87,625,139492,0,706000000,10788000,8700
188,20,62,576,254591,0,385000000,7688000,6200
189,49,92,576,65617,0,1512500000,11408000,9200
190,30,84,900,58918,3,858500000,10416000,8400
191,32,90,324,597586,0,156080000,11160000,9000
192,24,94,900,35202,7,584000000,11656000,9400
193,12,70,4,38086359,0,355612,2170000,1750
194,47,72,900,40862,3,1244000000,8928000,7200
195,28,73,676,108086,1,731000000,9052000,7300
196,10,74,36,37380467,0,281194,2294000,1850
197,23,64,625,189382,0,520000000,7936000,6400
198,50,62,36,16336400,1,2875040,1922000,1550
199,36,73,484,97388,8,163120000,9052000,7300
