,L,N,S,score,wrong_answers,placement_cost,measurement_cost,measurement_count
0,50,95,36,1,75,49262200,285000,285
1,35,66,289,2,63,40828744,198000,198
2,23,89,324,1,84,21732152,267000,267
3,35,61,4,1917197,1,41444592,183000,183
4,33,81,529,1,80,33282200,243000,243
5,35,93,529,1,92,33823744,279000,279
6,30,89,784,1,89,28989338,267000,267
7,49,71,36,2,63,52070400,213000,213
8,30,87,784,1,87,29545490,261000,261
9,10,61,196,27,58,8896000,183000,183
10,22,95,1,4800815,0,20444800,285000,285
11,45,73,81,2,65,48579144,219000,219
12,24,76,25,3,64,23123198,228000,228
13,43,96,1,2298225,0,43123842,288000,288
14,26,65,144,6,60,29737888,195000,195
15,43,93,361,1,91,40886592,279000,279
16,24,78,81,1,72,24180400,234000,234
17,19,98,81,1,82,17846336,294000,294
18,39,73,25,12,55,38710850,219000,219
19,46,65,576,2,63,53728102,195000,195
20,26,94,81,1,83,26181408,282000,282
21,17,62,484,6,61,21873888,186000,186
22,28,62,289,4,61,32654800,186000,186
23,16,90,16,21,57,14105944,270000,270
24,21,62,900,6,61,23337254,186000,186
25,10,65,841,13,62,7722400,195000,195
26,14,74,784,1,72,13032136,222000,222
27,13,95,225,1,91,11370776,285000,285
28,25,76,441,1,72,27368400,228000,228
29,40,79,25,4,60,41616450,237000,237
30,40,96,9,518,38,39725500,288000,288
31,20,72,225,1,69,20883800,216000,216
32,48,70,256,1,69,46942000,210000,210
33,35,60,900,5,59,43258800,180000,180
34,36,65,1,2503971,0,39641574,195000,195
35,22,60,576,8,59,23737750,180000,180
36,48,91,16,14,54,43975800,273000,273
37,10,85,625,1,84,7480200,255000,255
38,13,71,484,3,68,11232480,213000,213
39,23,79,289,1,77,23476944,237000,237
40,49,98,784,1,97,46425000,294000,294
41,19,75,9,11419,27,20849664,225000,225
42,31,64,36,52,49,34341864,192000,192
43,33,95,36,1,81,30998400,285000,285
44,29,79,841,1,76,29657208,237000,237
45,11,87,729,1,86,9096600,261000,261
46,10,92,625,1,90,7753400,276000,276
47,23,89,196,1,84,22785334,267000,267
48,15,99,100,1,95,13877216,297000,297
49,20,68,36,37,52,24529000,204000,204
50,31,85,256,1,83,30910184,255000,255
51,24,74,169,1,70,23476008,222000,222
52,46,80,676,1,79,43716278,240000,240
53,45,70,289,1,67,46611344,210000,210
54,43,71,256,1,67,49847732,213000,213
55,19,84,4,1142909,7,17997248,252000,252
56,32,68,81,3,63,37739648,204000,204
57,19,82,324,1,79,17040392,246000,246
58,45,76,900,1,74,48370504,228000,228
59,16,68,729,2,67,17679848,204000,204
60,39,96,441,1,91,37402850,288000,288
61,10,96,36,1,79,8317800,288000,288
62,46,71,729,1,69,45588244,213000,213
63,32,94,121,1,90,30709520,282000,282
64,13,75,576,1,72,10766136,225000,225
65,42,93,324,1,90,38862596,279000,279
66,32,79,484,1,77,33726758,237000,237
67,34,73,729,1,71,34419422,219000,219
68,11,83,441,1,81,7668800,249000,249
69,39,82,900,1,81,36565050,246000,246
70,24,76,784,1,74,22697914,228000,228
71,48,91,121,1,85,43637600,273000,273
72,25,75,81,2,66,25432400,225000,225
73,31,98,729,1,96,29988552,294000,294
74,43,68,49,4,59,56324756,204000,204
75,23,81,441,1,80,25674268,243000,243
76,28,86,16,23,54,26148250,258000,258
77,40,89,81,1,85,39343550,267000,267
78,32,86,400,1,85,32042198,258000,258
79,30,79,9,2173,33,28837070,237000,237
80,44,82,225,1,79,42548352,246000,246
81,18,95,100,1,85,16586500,285000,285
82,40,81,9,1187,34,42410300,243000,243
83,50,69,169,2,63,55768000,207000,207
84,31,67,324,2,66,36684896,201000,201
85,12,95,144,1,88,10612088,285000,285
86,43,74,900,1,74,46286724,222000,222
87,13,67,841,3,67,13585184,201000,201
88,24,97,1,4389614,0,22390048,291000,291
89,41,82,36,1,72,40027704,246000,246
90,17,63,484,8,60,21545608,189000,189
91,18,79,361,1,78,17480900,237000,237
92,15,95,529,1,94,13095056,285000,285
93,19,99,361,1,98,17852672,297000,297
94,46,70,729,1,68,49456610,210000,210
95,23,94,225,1,93,21893972,282000,282
96,26,72,900,1,72,29709072,216000,216
97,33,87,529,1,85,32010600,261000,261
98,26,84,676,1,82,25399368,252000,252
99,23,65,36,39,51,29414852,195000,195
