,L,N,S,score,wrong_answers,placement_cost,measurement_cost,measurement_count
0,50,95,36,1,75,109547000,285000,285
1,35,66,289,3,63,33466200,198000,198
2,23,89,324,1,84,81972400,267000,267
3,35,61,4,2789615,1,28394800,183000,183
4,33,81,529,1,80,63108200,243000,243
5,35,93,529,1,92,97878000,279000,279
6,30,89,784,1,89,83030600,267000,267
7,49,71,36,2,63,43420000,213000,213
8,30,87,784,1,87,80031200,261000,261
9,10,61,196,20,58,12310000,183000,183
10,22,95,1,1073930,0,92731000,285000,285
11,45,73,81,2,65,49557000,219000,219
12,24,76,25,2,64,47588800,228000,228
13,43,96,1,909632,0,109546600,288000,288
14,26,65,144,5,60,34283600,195000,195
15,43,93,361,1,91,102285000,279000,279
16,24,78,81,1,72,56947600,234000,234
17,19,98,81,1,82,95016000,294000,294
18,39,73,25,10,55,48875600,219000,219
19,46,65,576,3,63,34486600,195000,195
20,26,94,81,1,83,87322800,282000,282
21,17,62,484,5,61,27115000,186000,186
22,28,62,289,5,61,26948400,186000,186
23,16,90,16,5,57,65974400,270000,270
24,21,62,900,5,61,27591600,186000,186
25,10,65,841,7,62,13958400,195000,195
26,14,74,784,1,72,33578400,222000,222
27,13,95,225,1,91,45618200,285000,285
28,25,76,441,1,72,51531600,228000,228
29,40,79,25,3,60,59350200,237000,237
30,40,96,9,200,38,103618000,288000,288
31,20,72,225,1,69,42174800,216000,216
32,48,70,256,1,69,44756800,210000,210
33,35,60,900,8,59,27021600,180000,180
34,36,65,1,2772710,0,35770800,195000,195
35,22,60,576,8,59,25462600,180000,180
36,48,91,16,7,54,94532200,273000,273
37,10,85,625,1,84,17148200,255000,255
38,13,71,484,1,68,27270000,213000,213
39,23,79,289,1,77,58005600,237000,237
40,49,98,784,1,97,118040200,294000,294
41,19,75,9,5195,27,46218800,225000,225
42,31,64,36,61,49,29325800,192000,192
43,33,95,36,1,81,100784400,285000,285
44,29,79,841,1,76,58400400,237000,237
45,11,87,729,1,86,29150400,261000,261
46,10,92,625,1,90,14215400,276000,276
47,23,89,196,1,84,69331200,267000,267
48,15,99,100,1,95,78506000,297000,297
49,20,68,36,25,52,37309000,204000,204
50,31,85,256,1,83,74359400,255000,255
51,24,74,169,1,70,45997800,222000,222
52,46,80,676,1,79,65994800,240000,240
53,45,70,289,1,67,43624800,210000,210
54,43,71,256,1,67,45002000,213000,213
55,19,84,4,351506,7,59310000,252000,252
56,32,68,81,3,63,38353200,204000,204
57,19,82,324,1,79,53638200,246000,246
58,45,76,900,1,74,56956400,228000,228
59,16,68,729,2,67,31797000,204000,204
60,39,96,441,1,91,111720600,288000,288
61,10,96,36,1,79,10609800,288000,288
62,46,71,729,1,69,44560000,213000,213
63,32,94,121,1,90,101323800,282000,282
64,13,75,576,1,72,34422200,225000,225
65,42,93,324,1,90,102447200,279000,279
66,32,79,484,1,77,60008000,237000,237
67,34,73,729,1,71,47819800,219000,219
68,11,83,441,1,81,27573200,249000,249
69,39,82,900,1,81,65360800,246000,246
70,24,76,784,1,74,51727800,228000,228
71,48,91,121,1,85,95575600,273000,273
72,25,75,81,1,66,50819600,225000,225
73,31,98,729,1,96,108227400,294000,294
74,43,68,49,5,59,39402000,204000,204
75,23,81,441,1,80,61103000,243000,243
76,28,86,16,8,54,78238400,258000,258
77,40,89,81,1,85,91078800,267000,267
78,32,86,400,1,85,76351800,258000,258
79,30,79,9,1056,33,59738600,237000,237
80,44,82,225,1,79,69022800,246000,246
81,18,95,100,1,85,86569600,285000,285
82,40,81,9,742,34,67997800,243000,243
83,50,69,169,2,63,42132800,207000,207
84,31,67,324,2,66,37208800,201000,201
85,12,95,144,1,88,41410400,285000,285
86,43,74,900,1,74,51848400,222000,222
87,13,67,841,2,67,26324000,201000,201
88,24,97,1,1039871,0,95774800,291000,291
89,41,82,36,1,72,68477400,246000,246
90,17,63,484,6,60,26825000,189000,189
91,18,79,361,1,78,48383200,237000,237
92,15,95,529,1,94,72454400,285000,285
93,19,99,361,1,98,93661600,297000,297
94,46,70,729,1,68,40279400,210000,210
95,23,94,225,1,93,92878200,282000,282
96,26,72,900,1,72,46948000,216000,216
97,33,87,529,1,85,80079000,261000,261
98,26,84,676,1,82,67350000,252000,252
99,23,65,36,35,51,32366200,195000,195
