,L,N,S,score,wrong_answers,placement_cost,measurement_cost,measurement_count
0,50,95,36,9370147,0,7627192,2945000,2375
1,35,66,289,161322,3,315232720,2046000,1650
2,23,89,324,39485,12,171184212,2759000,2225
3,35,61,4,14921797,0,4710606,1891000,1525
4,33,81,529,21419,7,976500000,2511000,2025
5,35,93,529,25123,6,1040500000,2883000,2325
6,30,89,784,20,39,851500000,2759000,2225
7,49,71,36,10179343,1,5558054,2201000,1775
8,30,87,784,144,30,861500000,2697000,2175
9,10,61,196,3910443,0,23581554,1891000,1525
10,22,95,1,18607193,0,2329266,2945000,2375
11,45,73,81,37996,26,5591452,2263000,1825
12,24,76,25,20811274,0,2349088,2356000,1900
13,43,96,1,9541297,0,7404756,2976000,2400
14,26,65,144,471728,0,209871858,2015000,1625
15,43,93,361,3117,19,459430308,2883000,2325
16,24,78,81,62830,26,2292360,2418000,1950
17,19,98,81,60315,26,1872898,3038000,2450
18,39,73,25,13182905,0,5222582,2263000,1825
19,46,65,576,45669,3,1119000000,2015000,1625
20,26,94,81,121797,22,3044198,2914000,2350
21,17,62,484,214750,2,296000000,1922000,1550
22,28,62,289,215012,3,236104430,1922000,1550
23,16,90,16,24643240,0,1167908,2790000,2250
24,21,62,900,1743,22,421500000,1922000,1550
25,10,65,841,970,31,100000000,2015000,1625
26,14,74,784,10703,17,208000000,2294000,1850
27,13,95,225,1197170,2,50414440,2945000,2375
28,25,76,441,103400,2,616500000,2356000,1900
29,40,79,25,12660023,0,5349880,2449000,1975
30,40,96,9,12116269,0,5177366,2976000,2400
31,20,72,225,808120,0,121412090,2232000,1800
32,48,70,256,242278,0,410479432,2170000,1750
33,35,60,900,209,28,924500000,1860000,1500
34,36,65,1,14918369,0,4588146,2015000,1625
35,22,60,576,109999,3,463500000,1860000,1500
36,48,91,16,10146757,0,6934366,2821000,2275
37,10,85,625,104516,10,100000000,2635000,2125
38,13,71,484,227176,4,178000000,2201000,1775
39,23,79,289,382577,2,164737722,2449000,1975
40,49,98,784,18,37,1506500000,3038000,2450
41,19,75,9,23267188,0,1872898,2325000,1875
42,31,64,36,17310263,0,3692920,1984000,1600
43,33,95,36,14190207,0,4002114,2945000,2375
44,29,79,841,32,37,829000000,2449000,1975
45,11,87,729,848,31,114000000,2697000,2175
46,10,92,625,66750,12,100000000,2852000,2300
47,23,89,196,460586,1,170833108,2759000,2225
48,15,99,100,1325749,0,72260070,3069000,2475
49,20,68,36,23473143,0,2052188,2108000,1700
50,31,85,256,234211,2,270523052,2635000,2125
51,24,74,169,565060,0,174578566,2294000,1850
52,46,80,676,224,26,1348500000,2480000,2000
53,45,70,289,159025,2,400183984,2170000,1750
54,43,71,256,103437,4,393689568,2201000,1775
55,19,84,4,21845585,0,1873584,2604000,2100
56,32,68,81,132376,22,3366086,2108000,1700
57,19,82,324,77070,11,108815566,2542000,2050
58,45,76,900,6,43,1288000000,2356000,1900
59,16,68,729,5455,19,262000000,2108000,1700
60,39,96,441,65516,1,1218000000,2976000,2400
61,10,96,36,18247250,2,431378,2976000,2400
62,46,71,729,767,21,1201500000,2201000,1775
63,32,94,121,303592,0,326376188,2914000,2350
64,13,75,576,74390,9,178000000,2325000,1875
65,42,93,324,25518,10,417808882,2883000,2325
66,32,79,484,101006,0,987500000,2449000,1975
67,34,73,729,798,22,922500000,2263000,1825
68,11,83,441,548542,2,114000000,2573000,2075
69,39,82,900,4,46,1143500000,2542000,2050
70,24,76,784,269,29,574500000,2356000,1900
71,48,91,121,213114,0,466313402,2821000,2275
72,25,75,81,292039,19,2509798,2325000,1875
73,31,98,729,15,40,886000000,3038000,2450
74,43,68,49,9738208,1,6007064,2108000,1700
75,23,81,441,179498,0,554500000,2511000,2025
76,28,86,16,17187482,0,3052188,2666000,2150
77,40,89,81,42653,25,5998360,2759000,2225
78,32,86,400,99725,0,1000000000,2666000,2150
79,30,79,9,16116971,0,3655640,2449000,1975
80,44,82,225,233480,0,425661468,2542000,2050
81,18,95,100,991914,0,97770208,2945000,2375
82,40,81,9,11899765,0,5792528,2511000,2025
83,50,69,169,235083,0,423143118,2139000,1725
84,31,67,324,201868,3,251454988,2077000,1675
85,12,95,144,2376041,0,39041816,2945000,2375
86,43,74,900,5,44,1212500000,2294000,1850
87,13,67,841,859,29,178000000,2077000,1675
88,24,97,1,18354848,0,2341152,3007000,2425
89,41,82,36,6188474,3,5631446,2542000,2050
90,17,63,484,172360,3,295000000,1953000,1575
91,18,79,361,22447,17,97770208,2449000,1975
92,15,95,529,73894,8,224000000,2945000,2375
93,19,99,361,31238,15,109467416,3069000,2475
94,46,70,729,214,27,1131000000,2170000,1750
95,23,94,225,584299,0,168131334,2914000,2350
96,26,72,900,4,48,672500000,2232000,1800
97,33,87,529,13098,9,1022000000,2697000,2175
98,26,84,676,829,23,710000000,2604000,2100
99,23,65,36,20126718,1,1859816,2015000,1625
